experiment,benchmark,tau,method,rep,d,r,rank_hat,queries,discovery_queries,subspace_error,best_noisy_value,final_value,regret,batch,rep_global
optimization,ellipsoid,0.0,cross_block_known,1,12,2,2,3999,720,0.1915732177514971,-0.0159634094693954,0.0289990272032545,0.0289990272032545,1,3
optimization,ellipsoid,0.0,cross_block_adaptive,1,12,2,1,3999,720,1.0,0.0965321598642693,0.1148420525449633,0.1148420525449633,1,3
optimization,ellipsoid,0.0,cross_sparse_known,1,12,2,2,3999,600,0.927462759642818,0.1422317355733743,0.1946156401484098,0.1946156401484098,1,3
optimization,ellipsoid,0.0,random_subspace,1,12,2,2,3999,0,0.9999979297550088,0.5602818128860164,0.6081399188937707,0.6081399188937707,1,3
optimization,ellipsoid,0.0,full_zo,1,12,2,12,3999,0,1.0,0.0358186199991908,0.0947417618708978,0.0947417618708978,1,3
optimization,ellipsoid,0.02,oracle_subspace,0,12,2,2,3999,0,1.4901161193847656e-08,0.0235697833840673,0.0744218345523849,0.0744218345523849,1,2
optimization,ellipsoid,0.02,cross_block_known,0,12,2,2,3999,720,0.2010736630077535,0.1167140321750503,0.166337797582976,0.166337797582976,1,2
optimization,ellipsoid,0.02,cross_block_adaptive,0,12,2,1,3999,720,1.0,0.1765545225125472,0.2257834793092358,0.2257834793092358,1,2
optimization,ellipsoid,0.02,cross_sparse_known,0,12,2,2,3999,600,0.9164768328425068,0.1327993210382644,0.1689017559277703,0.1689017559277703,1,2
optimization,ellipsoid,0.02,random_subspace,0,12,2,2,3999,0,0.98453626944269,0.2807647079952721,0.3422621279050213,0.3422621279050213,1,2
optimization,ellipsoid,0.02,full_zo,0,12,2,12,3999,0,1.0,-0.0229232485769368,0.0383159949169902,0.0383159949169902,1,2
optimization,ellipsoid,0.02,oracle_subspace,1,12,2,2,3999,0,2.1073424255447017e-08,0.0748097716800282,0.111216406884244,0.111216406884244,1,3
optimization,ellipsoid,0.02,cross_block_known,1,12,2,2,3999,720,0.2475984091051609,0.0503373067373386,0.0987165907913404,0.0987165907913404,1,3
optimization,ellipsoid,0.02,cross_block_adaptive,1,12,2,1,3999,720,1.0,0.1891810205605016,0.2015123280099778,0.2015123280099778,1,3
optimization,ellipsoid,0.02,cross_sparse_known,1,12,2,2,3999,600,0.9336657672632376,0.2284867518637522,0.2552095729075292,0.2552095729075292,1,3
optimization,ellipsoid,0.02,random_subspace,1,12,2,2,3999,0,0.9816094473170436,0.0975355243786174,0.1608741607307219,0.1608741607307219,1,3
optimization,ellipsoid,0.02,full_zo,1,12,2,12,3999,0,1.0,0.185784958267859,0.2208138704756467,0.2208138704756467,1,3
optimization,rastrigin,0.0,oracle_subspace,0,12,2,2,3999,0,0.0,0.9821970309585544,1.0081505079947348,1.0081505079947348,1,2
optimization,rastrigin,0.0,cross_block_known,0,12,2,2,3999,720,0.0102895119346106,0.9939933752960254,1.0274970579046323,1.0274970579046323,1,2
optimization,rastrigin,0.0,cross_block_adaptive,0,12,2,2,3999,720,0.005602185523868,0.983025127576956,1.0274418301447064,1.0274418301447064,1,2
optimization,rastrigin,0.0,cross_sparse_known,0,12,2,2,3999,600,0.3137724833716369,0.9653666762912002,0.9966179984820228,0.9966179984820228,1,2
optimization,rastrigin,0.0,random_subspace,0,12,2,2,3999,0,0.9883243076760982,0.9358408633341408,1.0151018501925364,1.0151018501925364,1,2
optimization,rastrigin,0.0,full_zo,0,12,2,12,3999,0,1.0,0.9368642807095032,1.0050790432050931,1.0050790432050931,1,2
optimization,rastrigin,0.0,oracle_subspace,1,12,2,2,3999,0,2.1073424255447017e-08,1.9824489691252805,2.0169027815825764,2.0169027815825764,1,3
optimization,rastrigin,0.0,cross_block_known,1,12,2,2,3999,720,0.005559628005231,1.986404178777799,1.9913452259365307,1.9913452259365307,1,3
optimization,rastrigin,0.0,cross_block_adaptive,1,12,2,2,3999,720,0.0082210165781884,1.983509769000087,1.9973558699744665,1.9973558699744665,1,3
optimization,rastrigin,0.0,cross_sparse_known,1,12,2,2,3999,600,0.518647220341299,1.9758403458636649,2.0202947397757427,2.0202947397757427,1,3
optimization,rastrigin,0.0,random_subspace,1,12,2,2,3999,0,0.9905798842777572,1.9350631594074343,1.992684122368907,1.992684122368907,1,3
optimization,rastrigin,0.0,full_zo,1,12,2,12,3999,0,1.0,1.9248489137707023,1.9949811081115243,1.9949811081115243,1,3
optimization,rastrigin,0.02,oracle_subspace,0,12,2,2,3999,0,0.0,0.0014327601234639,0.0357165378207008,0.0357165378207008,1,2
