experiment,method,rep,d,r,n_anchors,queries,operator_error,frobenius_error,subspace_error,rank_hat
moment_bias,outer,1,12,2,320,5120,0.2932520020619655,0.3774435001286697,0.1351659243003637,2
moment_bias,outer_trace,1,12,2,320,5120,0.2288912395925137,0.3009384191586201,0.1265460397528293,2
moment_bias,cross,1,12,2,640,10240,0.2095208170481636,0.2436904685757,0.1907708528769802,2
moment_bias,outer,1,12,2,640,10240,0.1401667332360086,0.2610347558151741,0.0751726222055393,2
moment_bias,outer_trace,1,12,2,640,10240,0.153575226377087,0.2289097560998454,0.0497303313153482,2
moment_bias,cross,1,12,2,1280,20480,0.0980390277921627,0.1248254245856956,0.0821406721365281,2
moment_bias,outer,1,12,2,1280,20480,0.2211107401428041,0.3075728570293922,0.0675899203579642,2
moment_bias,outer_trace,1,12,2,1280,20480,0.1670501311482302,0.2348790510130253,0.0550857751955012,2
moment_bias,cross,2,12,2,80,1280,0.5472183478810246,0.6515436024989196,0.764836505654428,2
moment_bias,outer,2,12,2,80,1280,0.2362605239604816,0.3516152086038157,0.2031364361500948,2
moment_bias,outer_trace,2,12,2,80,1280,0.2315605339984018,0.3265163898459545,0.2440561789137459,2
moment_bias,cross,2,12,2,160,2560,0.2708058221640696,0.3621723033357897,0.2525443684129816,2
moment_bias,outer,2,12,2,160,2560,0.1927668976564559,0.2876734685701108,0.1476758998282791,2
moment_bias,outer_trace,2,12,2,160,2560,0.2092103308360078,0.2677145342779512,0.1114387852647892,2
moment_bias,cross,2,12,2,320,5120,0.2136599329803776,0.29254970534617,0.1639070292172054,2
moment_bias,outer,2,12,2,320,5120,0.1515581087796645,0.2541617246480825,0.1180845672480734,2
moment_bias,outer_trace,2,12,2,320,5120,0.1202876615291525,0.2264928043965221,0.0814820502247913,2
moment_bias,cross,2,12,2,640,10240,0.114051120166545,0.1542797163608462,0.1386605353226125,2
moment_bias,outer,2,12,2,640,10240,0.1828739655754946,0.290001773886506,0.0682081853494963,2
moment_bias,outer_trace,2,12,2,640,10240,0.1928405979019354,0.2624591624264557,0.0887063603168729,2
moment_bias,cross,2,12,2,1280,20480,0.1186409424607834,0.1501031025594007,0.0688825180618761,2
moment_bias,outer,2,12,2,1280,20480,0.1834328631580956,0.2912775363334817,0.0475575684421345,2
moment_bias,outer_trace,2,12,2,1280,20480,0.1756071162832345,0.2434186877885748,0.0448077937263374,2
moment_bias,cross,3,12,2,80,1280,0.615634806721133,0.6650907731464353,0.2694079348811201,2
moment_bias,outer,3,12,2,80,1280,0.2218235768589462,0.3517810018744213,0.1831864149396123,2
moment_bias,outer_trace,3,12,2,80,1280,0.3403284527006553,0.393384220052335,0.126541498272469,2
moment_bias,cross,3,12,2,160,2560,0.3501877312117997,0.4261464862809518,0.28324566009235,2
moment_bias,outer,3,12,2,160,2560,0.272175198142159,0.3505741719672197,0.1240796174135987,2
moment_bias,outer_trace,3,12,2,160,2560,0.1541690021460163,0.2837359088942701,0.088497516005927,2
moment_bias,cross,3,12,2,320,5120,0.2091835912876686,0.2620788500629502,0.1723209467843472,2
moment_bias,outer,3,12,2,320,5120,0.1113390472615458,0.2402455537062714,0.0959113355548011,2
moment_bias,outer_trace,3,12,2,320,5120,0.1591677724167068,0.2559256813085279,0.0919776281195477,2
moment_bias,cross,3,12,2,640,10240,0.1389384062593399,0.1791404873143724,0.0990910011038123,2
moment_bias,outer,3,12,2,640,10240,0.1226831748741717,0.2455519272255931,0.0620276809402713,2
moment_bias,outer_trace,3,12,2,640,10240,0.1060702839234385,0.202194430218308,0.0486463044027807,2
moment_bias,cross,3,12,2,1280,20480,0.1308163247771749,0.1546648633594319,0.1093707721359915,2
moment_bias,outer,3,12,2,1280,20480,0.1202414642866366,0.2321236366611613,0.0360835902319095,2
moment_bias,outer_trace,3,12,2,1280,20480,0.0973140687832082,0.1796338264554249,0.0538332949607857,2
moment_bias,cross,4,12,2,80,1280,0.9517272873805368,1.0107593035028668,0.3180413986506963,2
moment_bias,outer,4,12,2,80,1280,0.8176406712462314,0.8801274886778011,0.201660186020857,2
moment_bias,outer_trace,4,12,2,80,1280,0.8628866079557787,0.8933405200531989,0.1620857990715752,2
moment_bias,cross,4,12,2,160,2560,0.2521633054615659,0.316243393362073,0.302699067548569,2
moment_bias,outer,4,12,2,160,2560,0.4527594837091505,0.5260000704846328,0.1001549713150359,2
moment_bias,outer_trace,4,12,2,160,2560,0.4137376214734012,0.4766024601034214,0.1214774843374413,2
moment_bias,cross,4,12,2,320,5120,0.2392845009277327,0.2815163909750748,0.1800007980470921,2
moment_bias,outer,4,12,2,320,5120,0.1984726356437246,0.30163319477164,0.0671666435783452,2
moment_bias,outer_trace,4,12,2,320,5120,0.2450583659009748,0.2995594283997094,0.0919525111710206,2
moment_bias,cross,4,12,2,640,10240,0.1790734939768055,0.2115936038473646,0.1078484046527675,2
moment_bias,outer,4,12,2,640,10240,0.2022027749231146,0.2976674734722759,0.0558867101131141,2
moment_bias,outer_trace,4,12,2,640,10240,0.1585614722200572,0.2310162673950328,0.0696901524472853,2
moment_bias,cross,4,12,2,1280,20480,0.1237856793642607,0.14368665298149,0.1157408787402723,2
moment_bias,outer,4,12,2,1280,20480,0.2243368960591495,0.3162167617866974,0.0390515415159542,2
moment_bias,outer_trace,4,12,2,1280,20480,0.1764034330543333,0.2482364431024747,0.0360850516812448,2
moment_bias,cross,5,12,2,80,1280,0.2923091639775422,0.4243604757412935,0.3636945068477251,2
moment_bias,outer,5,12,2,80,1280,0.2376106598514037,0.3575510029550052,0.1613160086324915,2
moment_bias,outer_trace,5,12,2,80,1280,0.1733507457045685,0.2732240347437695,0.1791890568316656,2
moment_bias,cross,5,12,2,160,2560,0.2693267955291714,0.3813510022424998,0.2803345577106486,2
moment_bias,outer,5,12,2,160,2560,0.1834375690708678,0.2852634902251383,0.1244258030586776,2
moment_bias,outer_trace,5,12,2,160,2560,0.2384873072777669,0.3567943197494547,0.1181499211257595,2
moment_bias,cross,5,12,2,320,5120,0.128850011963802,0.1912160946898158,0.1655385195933434,2
moment_bias,outer,5,12,2,320,5120,0.1268409884354235,0.260987908340994,0.105140487830467,2
moment_bias,outer_trace,5,12,2,320,5120,0.1272223057337988,0.2344341081181731,0.0788049121637293,2
moment_bias,cross,5,12,2,640,10240,0.1619821299401484,0.2135007479293532,0.1154652109824255,2
moment_bias,outer,5,12,2,640,10240,0.1115305255382066,0.2416544363716367,0.0751800668864085,2
moment_bias,outer_trace,5,12,2,640,10240,0.1091245649502669,0.2023052801143383,0.0697339758980275,2
moment_bias,cross,5,12,2,1280,20480,0.1295011284311575,0.1547570506054446,0.0793271717010545,2
moment_bias,outer,5,12,2,1280,20480,0.1430879261411222,0.2471613129802572,0.0542324427357337,2
moment_bias,outer_trace,5,12,2,1280,20480,0.0961250452911543,0.1900696436261837,0.0513020641592758,2
moment_bias,cross,6,12,2,80,1280,0.4638375550141191,0.6800518495498906,0.6674022241021427,2
moment_bias,outer,6,12,2,80,1280,0.3208612987057195,0.4328975522179611,0.1661382444221872,2
moment_bias,outer_trace,6,12,2,80,1280,0.3847985684460962,0.4411460691471476,0.2388539336127371,2
moment_bias,cross,6,12,2,160,2560,0.2628284119314603,0.3668380046989564,0.3214638450948479,2
moment_bias,outer,6,12,2,160,2560,0.2132995638941026,0.3148386790908036,0.0976295789130045,2
